severity,lng,lat
property,149.067641,-35.237648
injury,149.09533,-35.201382
property,149.141787,-35.311098
property,149.037583,-35.204767
injury,149.112807,-35.421449
injury,149.133042,-35.27165
property,149.102612,-35.159789
injury,149.133369,-35.248184
injury,149.031332,-35.247414
property,149.070623,-35.348156
injury,149.13326,-35.253564
property,149.139209,-35.331893
injury,149.180426,-35.327368
injury,149.085969,-35.253821
property,149.068306,-35.236233
injury,149.160829,-35.246526
injury,149.136029,-35.328402
property,149.05937,-35.242647
property,149.132055,-35.261026
injury,149.15124,-35.29936
property,149.086037,-35.338482
property,149.068779,-35.348377
property,149.134256,-35.277507
injury,149.137377,-35.329969
property,149.134816,-35.321282
injury,149.126589,-35.28017
injury,149.065926,-35.41341
property,149.141886,-35.261858
injury,149.131052,-35.275914
injury,149.098643,-35.260313
injury,149.13075,-35.277787
injury,149.096793,-35.275955
property,149.123446,-35.32074
injury,149.114227,-35.319386
property,149.129926,-35.274205
property,149.165861,-35.226202
injury,149.057116,-35.384064
property,149.124419,-35.280746
property,149.147912,-35.320657
property,149.130211,-35.27306
property,149.02647,-35.225094
injury,149.141077,-35.291323
injury,149.123479,-35.269558
injury,149.08314,-35.411597
property,149.058775,-35.247645
property,149.102291,-35.313288
injury,149.150389,-35.297751
fatal,149.098266,-35.318027
property,149.121958,-35.273355
property,149.086288,-35.194222
injury,149.14479,-35.221149
injury,149.134648,-35.244169
property,149.138619,-35.26721
property,149.128021,-35.276979
property,149.129482,-35.276956
injury,149.126717,-35.275452
property,149.125892,-35.280212
injury,149.039922,-35.204887
injury,149.129294,-35.278115
injury,149.131356,-35.266257
property,149.140984,-35.271295
property,149.12656,-35.269941
injury,149.082822,-35.31296
property,149.075537,-35.260253
property,149.0745,-35.415367
injury,149.135131,-35.285718
property,149.12858,-35.3303
property,149.074997,-35.2523
injury,149.030368,-35.326106
property,149.130247,-35.272219
injury,149.13896,-35.254741
property,149.114434,-35.319426
property,149.080148,-35.230856
injury,149.048044,-35.329383
property,149.140613,-35.250566
property,149.133358,-35.253575
property,149.114117,-35.276012
injury,149.124718,-35.28357
property,149.127692,-35.279354
injury,149.122187,-35.188389
property,149.126245,-35.278605
injury,149.097787,-35.247008
injury,149.083407,-35.33848
injury,149.103046,-35.239277
property,149.130329,-35.271711
property,149.065775,-35.23616
property,149.124579,-35.283595
injury,149.126481,-35.276795
property,149.122997,-35.322205
property,149.097378,-35.39776
injury,149.075849,-35.250066
property,149.130401,-35.247862
injury,149.075867,-35.242936
property,149.127349,-35.300201
property,149.123622,-35.266862
property,149.125123,-35.279954
property,149.131302,-35.27437
property,149.150845,-35.194008
property,149.133731,-35.275718
injury,149.146025,-35.313029
property,149.133364,-35.252917
